layer_id,layer_name,execution_time,cpu_cycles,mvp_instructions,mvp_stall_cycles,mvp_program_count
1,QUANTIZE,0.000766,59735,0,0,0
2,CONV_2D,0.001004,78281,40624,28408,4
3,MAX_POOL_2D,0.000085,6634,2540,470,2
4,CONV_2D,0.002853,222517,132304,69082,16
5,MAX_POOL_2D,0.000191,14878,1488,112,8
6,CONV_2D,0.001286,100301,61008,31240,8
7,AVERAGE_POOL_2D,0.000119,9298,240,76,3
8,RESHAPE,0.000009,676,0,0,0
9,FULLY_CONNECTED,0.000030,2302,51,29,1
10,LOGISTIC,0.000023,1765,0,0,0
11,DEQUANTIZE,0.000010,772,0,0,0
0,ALL,0.006374,497159,238255,129417,42
1,QUANTIZE,0.000765,59675,0,0,0
2,CONV_2D,0.001003,78223,40624,28408,4
3,MAX_POOL_2D,0.000084,6548,2540,470,2
4,CONV_2D,0.002853,222507,132304,69078,16
5,MAX_POOL_2D,0.000191,14878,1488,112,8
6,CONV_2D,0.001286,100301,61008,31240,8
7,AVERAGE_POOL_2D,0.000119,9298,240,76,3
8,RESHAPE,0.000009,676,0,0,0
9,FULLY_CONNECTED,0.000030,2302,51,29,1
10,LOGISTIC,0.000007,517,0,0,0
11,DEQUANTIZE,0.000009,700,0,0,0
0,ALL,0.006354,495625,238255,129413,42
1,QUANTIZE,0.000765,59679,0,0,0
2,CONV_2D,0.001002,78189,40624,28413,4
3,MAX_POOL_2D,0.000084,6522,2540,470,2
4,CONV_2D,0.002853,222513,132304,69082,16
5,MAX_POOL_2D,0.000191,14878,1488,112,8
6,CONV_2D,0.001286,100301,61008,31240,8
7,AVERAGE_POOL_2D,0.000119,9298,240,76,3
8,RESHAPE,0.000009,676,0,0,0
9,FULLY_CONNECTED,0.000030,2302,51,29,1
10,LOGISTIC,0.000023,1765,0,0,0
11,DEQUANTIZE,0.000010,772,0,0,0
0,ALL,0.006370,496895,238255,129422,42
1,QUANTIZE,0.000765,59675,0,0,0
2,CONV_2D,0.001003,78223,40624,28408,4
3,MAX_POOL_2D,0.000084,6548,2540,470,2
4,CONV_2D,0.002853,222507,132304,69078,16
5,MAX_POOL_2D,0.000191,14878,1488,112,8
6,CONV_2D,0.001286,100301,61008,31240,8
7,AVERAGE_POOL_2D,0.000119,9298,240,76,3
8,RESHAPE,0.000009,676,0,0,0
9,FULLY_CONNECTED,0.000030,2302,51,29,1
10,LOGISTIC,0.000023,1765,0,0,0
11,DEQUANTIZE,0.000010,772,0,0,0
0,ALL,0.006371,496945,238255,129413,42
1,QUANTIZE,0.000765,59675,0,0,0
2,CONV_2D,0.001003,78223,40624,28408,4
3,MAX_POOL_2D,0.000084,6548,2540,470,2
4,CONV_2D,0.002853,222507,132304,69078,16
5,MAX_POOL_2D,0.000191,14878,1488,112,8
6,CONV_2D,0.001286,100301,61008,31240,8
7,AVERAGE_POOL_2D,0.000119,9298,240,76,3
8,RESHAPE,0.000009,676,0,0,0
9,FULLY_CONNECTED,0.000030,2302,51,29,1
10,LOGISTIC,0.000023,1765,0,0,0
11,DEQUANTIZE,0.000010,772,0,0,0
0,ALL,0.006371,496945,238255,129413,42
1,QUANTIZE,0.000765,59675,0,0,0
2,CONV_2D,0.001003,78223,40624,28408,4
3,MAX_POOL_2D,0.000084,6548,2540,470,2
4,CONV_2D,0.002853,222507,132304,69078,16
5,MAX_POOL_2D,0.000191,14878,1488,112,8
6,CONV_2D,0.001286,100301,61008,31240,8
7,AVERAGE_POOL_2D,0.000119,9298,240,76,3
8,RESHAPE,0.000009,676,0,0,0
9,FULLY_CONNECTED,0.000030,2302,51,29,1
10,LOGISTIC,0.000023,1765,0,0,0
11,DEQUANTIZE,0.000010,772,0,0,0
0,ALL,0.006371,496945,238255,129413,42
1,QUANTIZE,0.000765,59675,0,0,0
2,CONV_2D,0.001003,78223,40624,28408,4
3,MAX_POOL_2D,0.000084,6548,2540,470,2
4,CONV_2D,0.002853,222507,132304,69078,16
5,MAX_POOL_2D,0.000191,14878,1488,112,8
6,CONV_2D,0.001286,100301,61008,31240,8
7,AVERAGE_POOL_2D,0.000119,9298,240,76,3
8,RESHAPE,0.000009,676,0,0,0
9,FULLY_CONNECTED,0.000030,2302,51,29,1
10,LOGISTIC,0.000023,1765,0,0,0
11,DEQUANTIZE,0.000010,772,0,0,0
0,ALL,0.006371,496945,238255,129413,42
1,QUANTIZE,0.000765,59675,0,0,0
2,CONV_2D,0.001003,78223,40624,28408,4
3,MAX_POOL_2D,0.000084,6548,2540,470,2
4,CONV_2D,0.002853,222507,132304,69078,16
5,MAX_POOL_2D,0.000191,14878,1488,112,8
6,CONV_2D,0.001286,100301,61008,31240,8
7,AVERAGE_POOL_2D,0.000119,9298,240,76,3
8,RESHAPE,0.000009,676,0,0,0
9,FULLY_CONNECTED,0.000030,2302,51,29,1
10,LOGISTIC,0.000023,1765,0,0,0
11,DEQUANTIZE,0.000010,772,0,0,0
0,ALL,0.006371,496945,238255,129413,42
1,QUANTIZE,0.000765,59675,0,0,0
2,CONV_2D,0.001003,78223,40624,28408,4
3,MAX_POOL_2D,0.000084,6548,2540,470,2
4,CONV_2D,0.002853,222507,132304,69078,16
5,MAX_POOL_2D,0.000191,14878,1488,112,8
6,CONV_2D,0.001286,100301,61008,31240,8
7,AVERAGE_POOL_2D,0.000119,9298,240,76,3
8,RESHAPE,0.000009,676,0,0,0
9,FULLY_CONNECTED,0.000030,2302,51,29,1
10,LOGISTIC,0.000023,1765,0,0,0
11,DEQUANTIZE,0.000010,772,0,0,0
0,ALL,0.006371,496945,238255,129413,42
1,QUANTIZE,0.000765,59675,0,0,0
2,CONV_2D,0.001003,78201,40624,28408,4
3,MAX_POOL_2D,0.000084,6548,2540,470,2
4,CONV_2D,0.002853,222507,132304,69078,16
5,MAX_POOL_2D,0.000191,14878,1488,112,8
6,CONV_2D,0.001286,100301,61008,31240,8
7,AVERAGE_POOL_2D,0.000119,9298,240,76,3
8,RESHAPE,0.000009,676,0,0,0
9,FULLY_CONNECTED,0.000030,2302,51,29,1
10,LOGISTIC,0.000023,1765,0,0,0
11,DEQUANTIZE,0.000010,772,0,0,0
0,ALL,0.006371,496923,238255,129413,42
